Geneid	Fly/RNA_seq/WT_1.bam	Fly/RNA_seq/WT_2.bam	Fly/RNA_seq/WT_3.bam	Fly/RNA_seq/PhoKO_1.bam	Fly/RNA_seq/PhoKO_2.bam	Fly/RNA_seq/PhoKO_3.bam	
Pcmt	3447	3075	1891	1938	2849	2781	
Snm1	1022	1006	677	620	1057	903	
Pi4KIIalpha	1979	2288	1321	1191	2012	1819	
snoRNA:Pi4KIIalpha-a	3	4	1	4	1	4	
asRNA:CR46136	22	77	17	20	11	16	
CG14671	617	579	347	409	577	549	
CG12746	885	805	550	612	968	906	
CG2931	1798	1821	971	1016	1697	1569	
Rheb	3097	3015	1881	2017	3089	2755	
CRMP	5460	5600	2784	3833	5360	4495	
CG2926	15018	15804	9399	9541	15512	13510	
rev7	183	159	123	127	153	131	
noi	4569	4305	2611	2963	4349	3942	
Vha26	10373	10883	6872	7059	11433	9237	
kra	42921	43159	27158	29328	44557	37004	
snoRNA:Psi28S-3385b	23	22	12	9	13	14	
snoRNA:Psi28S-3385a	13	10	8	12	12	7	
snoRNA:Psi28S-3091b	16	13	11	9	15	11	
snoRNA:Psi28S-3091a	16	17	5	7	14	3	
snoRNA:Psi28S-3571	16	19	11	13	15	11	
snoRNA:Psi28S-3186	19	21	16	29	29	27	
snoRNA:Psi28S-2442b	16	7	7	12	24	10	
snoRNA:Psi28S-2442a	8	13	3	0	22	9	
CG1427	2461	2366	1721	1420	2263	2069	
asl	2861	2710	1858	2095	3153	2829	
Rga	6021	6144	3641	4022	6079	5506	
asRNA:ASTR	30	56	24	15	49	46	
sisRNA:1	0	0	0	0	0	0	
asRNA:CR46135	30	38	28	13	28	23	
Atu	0	0	0	0	0	0	
Spec2	974	959	629	653	974	817	
CG2911	211	224	91	161	226	188	
RpL13A	89228	84532	46270	56521	84024	78705	
snoRNA:Me28S-U2134b	2	3	4	2	7	1	
snoRNA:Me28S-U2134a	0	0	0	0	0	0	
CG31551	4	4	1	0	2	7	
CG31549	1844	1629	938	1196	1596	1307	
CG12171	1452	1374	766	934	1303	1177	
CG31546	11	9	7	3	7	10	
CG31548	1255	1170	713	853	1176	1077	
CG12170	763	677	358	452	598	508	
MTA1-like	11870	12473	7233	7483	12249	11012	
Sec23	13511	14377	7171	8539	13105	11663	
elm	1465	1361	925	1007	1528	1276	
MED27	1152	1051	603	721	1079	921	
CG2182	5149	5571	3537	3673	5626	4753	
asRNA:CR44093	22	17	11	10	16	14	
Wdr33	2335	2297	1231	1433	2201	2087	
asRNA:CR46134	1	1	1	0	2	0	
Xe7	10221	9558	6206	6102	9714	8891	
Atg17	3537	3694	2218	2364	3852	3342	
Rab23	2025	2042	1217	1123	2052	1855	
plx	4469	4152	2854	2301	3051	2826	
CG2104	0	0	2	1	1	1	
cas	2261	1769	1473	2398	3265	2325	
lncRNA:CR44924	2	1	5	5	10	3	
CG1239	501	490	294	323	450	402	
CG2100	1744	1754	1062	1192	1737	1440	
CG1236	3145	4073	1622	2377	2856	3241	
Sym	3361	3454	2295	2062	3291	2907	
Madm	4438	4512	2645	2724	4415	4028	
CG2091	2718	2461	1548	1742	2554	2176	
Sec8	4021	3923	2557	2489	3928	3534	
CG2082	524	385	285	334	514	367	
jagn	2685	2767	1661	1552	2419	2276	
kat-60L1	1042	993	677	813	1093	935	
Hat1	4112	3849	2537	2991	4161	3794	
Rpn5	11331	12424	7261	8143	11971	10389	
CG1218	1898	1800	1006	1199	1964	1624	
CG2046	1789	1821	940	1124	2024	1589	
CG10979	1918	1915	1095	1217	1964	1654	
CG11000	541	358	395	488	545	408	
CG42675	342	315	210	186	276	243	
Hpr1	2375	2248	1340	1612	2256	1971	
CG46303	2	1	1	4	5	1	
CG2023	479	509	252	306	439	427	
dgrn	1102	1131	634	623	1068	1050	
glob3	0	1	0	1	0	1	
CG1208	75	59	30	43	131	51	
asRNA:CR45192	0	0	0	0	0	0	
CG1213	166	122	179	117	287	109	
CG14676	0	2	0	0	2	0	
CR10991	1	4	1	2	6	3	
disp	4428	4473	2770	2426	4136	3864	
CG34287	0	1	2	0	4	0	
ECSIT	722	700	439	418	603	526	
CG2017	1731	1763	983	1111	1682	1607	
asRNA:CR46133	0	0	0	0	0	0	
side-III	1616	1374	960	1173	1588	1447	
lncRNA:CR45761	0	0	0	1	1	0	
lncRNA:CR45762	0	1	0	0	0	0	
CG11373	1	0	0	0	0	0	
lncRNA:CR44925	0	0	0	0	0	0	
lncRNA:CR44926	0	0	0	0	0	0	
lncRNA:TS20	0	0	0	0	0	0	
Obp83a	1	2	2	2	5	3	
Obp83b	0	0	0	0	0	0	
lncRNA:CR44927	0	0	0	0	0	0	
lncRNA:CR44928	0	2	0	0	0	0	
Rm62	81586	77526	58912	45197	78910	74024	
CG10280	19	20	15	8	19	8	
CG11459	313	430	39	27	126	170	
CR1075	0	0	1	0	1	0	
lncRNA:CR46221	1	1	2	1	0	1	
lncRNA:CR44921	0	0	1	0	0	0	
CG15580	1	1	1	2	2	3	
Or83c	0	2	1	1	0	0	
Gasp	7735	8289	5409	3859	7784	6554	
lncRNA:CR44929	0	1	1	0	2	2	
Obp83cd	19	20	6	7	8	19	
Obp83ef	62	166	14	24	26	111	
Obp83g	230	268	93	217	292	220	
Vha14-2	3	3	5	3	5	2	
lncRNA:CR43486	0	0	0	0	0	0	
lncRNA:CR43487	2	0	0	0	0	1	
CG31559	216	343	98	133	315	219	
CG1077	5	6	5	5	9	2	
Osi1	3	2	0	1	1	3	
CR31562	0	0	0	0	0	1	
NPFR	286	206	158	168	197	182	
Osi24	279	345	129	216	406	284	
Osi2	113	104	94	67	157	175	
Osi3	5	1	4	6	15	9	
Osi4	84	90	101	47	78	75	
Osi5	0	5	1	3	5	3	
Osi6	54	61	48	68	87	83	
Osi7	139	163	113	18	42	25	
Osi8	0	1	0	0	1	0	
Osi9	44	60	31	50	63	40	
Osi10	0	0	0	1	0	1	
Osi11	0	0	0	0	0	0	
Osi12	2	0	1	0	2	2	
CG15597	79	1	0	334	5	3	
CG15594	1	0	0	0	0	0	
Osi13	0	2	0	0	1	0	
Osi14	87	59	66	39	84	56	
Osi15	8	1	12	5	4	1	
Osi16	1	0	0	1	1	0	
CG46026	0	0	0	0	2	0	
CG31560	0	0	0	0	0	0	
Osi17	16	20	12	9	16	20	
Osi18	0	0	0	0	4	1	
Osi19	1	1	0	0	1	2	
Osi20	0	0	0	0	0	2	
CG17917	83	48	44	23	44	33	
CG10298	52	49	35	22	40	41	
CG17919	2175	2311	974	1278	2181	2002	
SmD2	5545	5136	3013	3612	5527	4978	
CG18048	606	525	330	374	633	527	
Hr83	4	3	3	3	3	0	
Pak	5347	5609	3345	3598	5414	5040	
CG42724	13658	13639	8749	8858	14380	13351	
CG10286	3701	3359	2108	2416	3364	3135	
CRAT	2755	3069	1599	1613	2708	2346	
CG42564	106	98	94	59	98	98	
snoRNA:83E4-5	0	0	1	0	0	0	
CG1024	1397	1444	833	948	1370	1307	
CG42537	0	0	0	1	1	0	
TfIIFalpha	3978	4184	2270	2362	3949	3596	
godzilla	3783	4148	2403	2428	3763	3331	
Dmtn	5240	5774	3041	3448	5922	5261	
gpp	12881	13435	8076	8787	13656	11937	
lncRNA:CR44017	0	1	2	0	1	2	
CG9727	3983	4004	2466	2298	3924	3583	
mir-9375	0	0	0	0	0	0	
Zif	3245	3082	1876	1925	3082	2846	
Neurochondrin	593	542	278	480	666	490	
CG15186	103	97	39	58	136	73	
tRNA:Met-CAT-1-5	0	0	0	0	1	0	
CG15185	0	0	0	0	0	0	
dpr11	1257	1007	784	752	1022	858	
Pif2	0	1	0	0	3	0	
lncRNA:CR46132	1	1	1	2	0	3	
CG1137	3	1	3	3	3	2	
CG2336	1	1	2	0	0	0	
lncRNA:CR46131	1	1	1	0	0	0	
CG1138	0	0	0	0	1	0	
CG31482	0	0	0	0	0	0	
glob2	0	3	0	0	0	0	
sowi	0	2	0	0	1	1	
CG15177	0	2	2	2	0	1	
sunz	0	1	0	0	3	0	
CG31286	0	0	0	0	0	0	
Ass	2	0	3	3	0	4	
Taf1	10994	10899	6790	6537	10496	9468	
CG1307	3272	3025	1672	1810	3046	2830	
twr	4408	4752	2461	2838	4409	3616	
agt	409	304	223	216	306	301	
lab	106	117	58	66	87	80	
Edg84A	4	1	1	1	2	2	
Ccp84Ag	2	5	5	13	7	7	
Ccp84Af	1	1	1	1	3	2	
Ccp84Ae	0	0	0	0	0	0	
Ccp84Ad	1	10	2	8	17	15	
Ccp84Ac	0	0	0	0	0	0	
lncRNA:CR33938	14458	13298	9414	12359	16157	16044	
Ccp84Ab	9	15	3	8	17	16	
Ccp84Aa	80	102	60	46	103	113	
pb	109	90	53	87	101	73	
zen2	0	0	1	0	0	0	
CG34297	0	0	0	2	0	0	
zen	1	0	0	2	3	2	
bcd	3	0	1	1	11	1	
lncRNA:CR45593	94	106	41	99	238	203	
Ama	12680	13020	6298	7303	10076	9165	
lncRNA:CR44930	12	6	2	4	6	4	
lncRNA:CR42721	115	94	46	75	88	63	
mir-993	0	0	0	0	0	0	
lncRNA:CR43435	51	47	16	28	57	29	
Dfd	316	378	198	218	303	301	
lncRNA:CR42651	11	9	7	15	8	9	
mir-10	0	0	0	0	0	0	
lncRNA:CR45915	0	0	1	0	0	0	
tRNA:Lys-CTT-2-1Psi	2	1	3	0	0	3	
tRNA:Lys-TTT-2-1	0	0	0	0	0	0	
7SLRNA:CR42652	20	13	3	1	4	9	
tRNA:Lys-TTT-2-2	0	0	0	0	0	0	
tRNA:Lys-TTT-2-3	0	0	0	0	0	0	
7SLRNA:CR32864	3	2	0	2	0	3	
tRNA:Lys-TTT-2-4	0	0	0	0	0	0	
Scr	3171	4085	2007	2487	4505	4869	
lncRNA:CR45901	12	13	8	16	24	27	
lncRNA:CR45902	9	12	5	12	15	20	
lncRNA:CR45903	8	6	2	7	13	8	
lncRNA:CR45904	12	11	11	16	17	19	
lncRNA:CR45905	10	5	5	14	17	26	
lncRNA:CR45900	0	0	1	0	3	0	
ftz	1	1	1	3	1	2	
lncRNA:CR44931	0	0	0	0	1	0	
lncRNA:CR45559	225	260	128	164	270	320	
lncRNA:CR44932	66	69	46	53	77	69	
Antp	2646	2653	1564	1610	2885	2476	
lncRNA:CR43252	33	38	20	32	52	42	
lncRNA:CR45899	5	3	1	10	12	9	
lncRNA:CR44933	16	14	9	13	16	18	
Sodh-1	8	5	17	26	12	14	
CG1979	1	1	4	2	5	0	
dj	0	2	0	1	3	0	
djl	0	0	0	4	1	4	
CG1988	2	7	1	12	8	6	
CG1105	2827	2748	1537	1771	2393	1988	
CG1965	4921	4919	3180	3464	5510	5051	
Ufl1	2314	2536	1533	1647	2423	2078	
asRNA:CR45908	42	40	27	18	38	32	
CG1943	15491	15059	10689	9140	13862	12669	
Ref1	14706	14574	7448	10195	15374	14245	
Dpck	746	661	404	514	767	674	
Tailor	4575	4441	2721	3193	5211	4579	
asRNA:CR45907	57	48	42	43	65	37	
alphaTub84B	256025	281242	139376	138720	220430	199765	
lncRNA:CR43685	871	834	608	541	783	711	
e(y)2b	21	26	23	31	36	31	
Alh	12467	13348	6901	8475	12534	11278	
lncRNA:CR45906	0	1	2	1	1	5	
Mlp84B	781	737	420	765	712	351	
CG10098	4681	4734	2781	2754	4012	3638	
CG10068	887	971	559	513	834	769	
lncRNA:CR42875	107	116	80	91	124	100	
CG31248	112	83	58	89	147	80	
tRNA:Gly-TCC-1-1	1	2	1	0	0	2	
tRNA:Gly-TCC-1-2	0	0	0	0	0	0	
CG31493	1	1	0	0	2	0	
Fer1	394	338	264	341	453	332	
asRNA:CR42738	0	0	0	0	0	0	
CG14610	0	0	0	0	0	0	
CG2656	1203	1144	686	807	1092	1137	
gfzf	4825	4544	3024	2982	4703	4261	
Sas-4	1911	1773	1054	1324	1933	1689	
MAGE	587	560	408	341	493	455	
asRNA:CR45909	1	3	3	0	1	3	
sas	14334	13878	8717	8118	13439	12690	
CG10055	1299	1329	722	841	1374	1168	
lap	7028	7408	4389	4255	7191	6184	
CG14609	10	11	7	7	15	11	
CG1288	0	4	0	3	4	1	
CG14606	2	1	0	2	1	10	
CG14605	1	0	0	0	0	0	
thw	218	298	124	164	251	230	
CG14607	0	0	0	0	0	3	
CG1234	2811	2807	1770	1939	2772	2590	
CG10053	437	447	246	334	449	428	
CG1227	626	648	403	418	683	536	
CG10050	280	332	138	163	272	243	
Obp84a	16	21	20	9	21	11	
Gld	900	810	427	435	735	598	
lncRNA:CR44338	1	1	1	0	5	5	
Syt4	6242	5906	4195	4745	8305	6940	
CR10032	4	3	1	2	9	2	
rn	5137	5058	3016	3425	5522	4745	
lncRNA:CR44333	4	1	1	1	2	2	
RacGAP84C	22	14	6	9	17	12	
CG42544	7	7	3	10	11	14	
lncRNA:CR44334	252	235	164	119	293	227	
lncRNA:CR46130	1	1	0	0	1	0	
CG10029	5	11	2	4	9	11	
lncRNA:CR46299	2	3	1	1	0	1	
lncRNA:CR46224	0	2	0	0	0	1	
CG44335	9	16	9	2	4	4	
lncRNA:TS14	1	2	0	1	2	0	
lncRNA:CR44337	0	0	0	0	0	0	
CG31496	366	1200	687	854	1375	168	
nxf4	0	0	0	0	1	0	
CG43290	7	2	2	0	0	1	
CG17944	0	0	0	0	0	0	
Mst84Dd	0	4	0	0	0	0	
Mst84Dc	0	10	0	2	3	0	
Mst84Db	1	10	0	0	2	0	
Mst84Da	0	1	0	0	1	0	
MstProx	13	12	17	14	22	8	
lncRNA:CR45560	0	0	0	0	0	2	
CG42650	0	0	0	0	0	1	
Ir84a	0	0	0	3	15	15	
CR46300	0	0	0	0	6	7	
wa-cup	1	0	0	5	13	7	
CG14598	464	410	258	534	949	864	
tRNA:Val-CAC-2-1	0	0	0	0	0	0	
mir-4950	0	0	0	0	0	0	
tRNA:Val-CAC-2-2	0	0	0	0	0	0	
lncRNA:CR44934	0	0	0	0	0	0	
tRNA:Val-CAC-2-3	0	0	0	0	0	0	
CG1142	2941	2919	1783	1685	2532	2219	
scaRNA:MeU5-C46	57	45	47	40	42	50	
snRNA:7SK	59	45	23	29	31	43	
tRNA:Val-CAC-2-4	0	1	0	0	1	0	
alpha-Est10	128	118	52	98	168	140	
CG42656	0	0	0	0	4	0	
alpha-Est9	1025	773	655	797	954	702	
Mics1	1	2	5	2	1	2	
alpha-Est8	94	82	43	87	72	83	
Ubc84D	0	1	0	0	2	0	
alpha-Est7	115	246	83	150	120	190	
alpha-Est6	1	3	2	2	2	0	
alpha-Est4aPsi	1	1	0	0	0	0	
Rtnl2	12	11	5	2	4	8	
alphaTub84D	13781	13211	6966	9570	13436	11841	
alpha-Est5	118	154	131	60	70	73	
alpha-Est4	36	38	36	30	25	24	
asRNA:CR46128	7	7	7	1	7	5	
alpha-Est3	0	0	0	0	0	2	
alpha-Est2	255	86	43	68	36	50	
asRNA:CR46129	0	0	0	0	0	0	
alpha-Est1	127	124	61	75	215	132	
CG45545	0	0	0	0	0	0	
Nlg3	852	751	512	566	665	574	
lncRNA:CR44332	0	0	0	2	0	0	
Nlg1	231	178	97	97	135	162	
lncRNA:CR44260	0	0	0	0	0	0	
CG2616	0	0	0	1	2	1	
CG43254	0	0	0	0	0	0	
lncRNA:CR44935	0	0	0	0	0	0	
pyd3	158	144	140	177	117	114	
CG10919	1	0	1	0	1	1	
Sp7	679	693	309	454	678	774	
CG11286	0	1	1	0	3	0	
lncRNA:CR46225	0	0	0	0	0	0	
lncRNA:CR46226	0	0	0	0	0	0	
CG18747	102	43	187	78	101	41	
CG18745	20	24	35	9	8	30	
CG18748	1	6	8	7	5	8	
CG18746	1	0	1	1	2	2	
CG10086	1	3	1	6	5	37	
CG2641	557	595	392	260	462	378	
CG18744	7	12	1	17	9	9	
CG3014	397	361	151	235	312	246	
CG18268	25	27	13	13	16	16	
CG2993	2940	2262	1556	1616	2122	1742	
sgll	2495	2407	1369	1464	2253	2018	
CG31473	129	128	95	58	100	95	
CG34384	1880	1729	1207	1259	1818	1413	
CG17816	4979	4545	3157	3959	6503	5629	
lncRNA:CR46127	1	4	0	1	1	1	
ArgRS-m	880	825	535	522	712	629	
mRpS9	1649	1656	1080	1208	1613	1448	
wtrw	667	564	425	432	662	595	
EMC1	7229	7290	4063	4966	7092	6239	
Taf7	920	926	580	654	974	892	
Prat	3137	2867	1651	1968	2801	2643	
CG2846	1108	1052	640	667	1047	868	
CG2678	47	65	25	31	48	53	
CG10445	407	363	248	258	459	409	
lds	5384	5243	2926	3666	5318	4696	
scaRNA:MeU2-C41	5	4	1	1	5	8	
dsx	2457	2793	1435	930	1845	1822	
CD98hc	24236	23984	13437	16541	24039	22470	
Os-C	118	147	78	85	109	126	
Sfp84E	3	8	4	2	1	4	
CG2781	500	430	280	331	500	377	
lncRNA:CR46143	0	1	2	2	1	3	
lncRNA:CR46142	0	0	1	0	1	1	
PIG-H	328	297	206	213	304	264	
Kmn2	249	209	171	144	185	128	
CG2698	5183	4761	3580	2923	4567	4017	
CG2767	6453	7195	3747	3998	6667	6234	
CG11052	29	27	29	8	17	14	
CG3223	2509	2526	1286	1707	2436	2108	
CG10435	1498	1485	857	1041	1600	1438	
Pbp95	619	593	390	403	656	561	
CG2747	9767	10193	5615	5541	8976	7718	
ImpE3	3186	5013	1371	1737	3790	3101	
CG10903	80	60	44	60	87	58	
CG11035	257	266	173	173	259	232	
unc-45	2616	2734	1513	1452	2130	1927	
lncRNA:CR44936	0	1	0	0	0	0	
CG43060	19	51	10	7	6	19	
CG43618	0	2	0	0	0	0	
CG43061	2	3	1	0	0	0	
mAChR-B	199	160	160	161	177	114	
snoRNA:Me18S-G423	0	0	0	0	0	0	
CG7910	40	28	33	8	4	1	
lncRNA:CR44330	4	0	0	0	0	1	
CG7900	385	343	214	774	1199	909	
puc	1903	1941	1179	1355	2002	1774	
lncRNA:CR44331	11	18	7	8	16	20	
CG7878	4859	4646	3103	3160	4851	4322	
CG9667	1216	1165	668	797	1184	1208	
Gie	2327	2578	1383	1363	2361	2134	
tRNA:Asn-GTT-1-10	0	0	0	0	0	0	
tRNA:Arg-ACG-1-6	0	0	0	0	0	0	
tRNA:Arg-ACG-1-7	0	0	0	0	0	0	
tRNA:Arg-ACG-1-8	0	0	0	0	0	0	
tRNA:Arg-ACG-1-9	0	0	0	0	0	0	
tRNA:Arg-ACG-1-10	0	1	0	0	0	0	
grn	3887	4374	1931	1631	2838	2497	
lncRNA:CR43302	8	7	3	1	6	5	
lncRNA:CR43303	0	0	0	0	0	0	
CheA84a	0	0	0	0	0	0	
CG7800	714	640	524	466	955	648	
CG18249	118	246	44	72	202	172	
lncRNA:CR45551	20	14	12	5	7	11	
lncRNA:CR45550	0	0	0	0	0	0	
