Geneid	Fly/RNA_seq/WT_1.bam	Fly/RNA_seq/WT_2.bam	Fly/RNA_seq/WT_3.bam	Fly/RNA_seq/SppsKO_1.bam	Fly/RNA_seq/SppsKO_2.bam	Fly/RNA_seq/SppsKO_3.bam	Fly/RNA_seq/SppsKO_4.bam	
CG12171	1452	1374	766	1506	1273	1410	1357	
CG31546	11	9	7	17	12	11	8	
CG31548	1255	1170	713	1344	1189	1344	1272	
CG12170	763	677	358	680	587	623	685	
MTA1-like	11870	12473	7233	13632	11389	13340	10660	
Sec23	13511	14377	7171	14880	12586	14470	12270	
elm	1465	1361	925	1465	1207	1391	1312	
MED27	1152	1051	603	1155	975	1245	1064	
CG2182	5149	5571	3537	6002	4966	6050	4705	
asRNA:CR44093	22	17	11	26	17	25	25	
Wdr33	2335	2297	1231	2605	2205	2654	2261	
asRNA:CR46134	1	1	1	0	1	2	1	
Xe7	10221	9558	6206	11200	9477	10519	8062	
Atg17	3537	3694	2218	3982	3328	3963	3050	
Rab23	2025	2042	1217	2231	1821	2298	1849	
plx	4469	4152	2854	3603	2825	3153	2478	
CG2104	0	0	2	0	1	1	0	
cas	2261	1769	1473	2183	2023	2097	1499	
lncRNA:CR44924	2	1	5	6	1	3	1	
CG1239	501	490	294	474	433	486	545	
CG2100	1744	1754	1062	1749	1636	2043	1867	
CG1236	3145	4073	1622	3254	2838	3460	3073	
Sym	3361	3454	2295	3808	3189	3596	2809	
Madm	4438	4512	2645	4695	3965	4953	4135	
CG2091	2718	2461	1548	2764	2520	2919	2631	
Sec8	4021	3923	2557	4324	3752	4373	3700	
CG2082	524	385	285	460	411	407	374	
jagn	2685	2767	1661	2786	2350	2864	2692	
kat-60L1	1042	993	677	1123	1014	1078	773	
Hat1	4112	3849	2537	4265	4003	4699	4377	
Rpn5	11331	12424	7261	13464	11460	13259	10508	
CG1218	1898	1800	1006	1893	1609	1925	1868	
CG2046	1789	1821	940	2035	1807	1975	1849	
CG10979	1918	1915	1095	1941	1651	1876	1653	
CG11000	541	358	395	432	406	430	332	
CG42675	342	315	210	366	318	350	294	
Hpr1	2375	2248	1340	2348	2112	2566	2105	
CG46303	2	1	1	1	0	0	0	
CG2023	479	509	252	540	439	562	442	
dgrn	1102	1131	634	1180	1005	1207	1078	
glob3	0	1	0	0	0	1	1	
CG1208	75	59	30	202	175	235	532	
asRNA:CR45192	0	0	0	0	0	0	0	
CG1213	166	122	179	113	117	279	121	
CG14676	0	2	0	0	1	0	1	
CR10991	1	4	1	2	2	3	1	
disp	4428	4473	2770	4769	4068	5035	3980	
CG34287	0	1	2	3	1	2	0	
ECSIT	722	700	439	760	617	752	706	
CG2017	1731	1763	983	1828	1623	1869	1642	
asRNA:CR46133	0	0	0	0	0	0	0	
side-III	1616	1374	960	1529	1308	1401	954	
lncRNA:CR45761	0	0	0	0	0	0	0	
lncRNA:CR45762	0	1	0	0	0	0	0	
CG11373	1	0	0	1	0	0	0	
lncRNA:CR44925	0	0	0	1	0	0	0	
lncRNA:CR44926	0	0	0	0	0	0	0	
lncRNA:TS20	0	0	0	0	0	0	0	
Obp83a	1	2	2	4	2	1	3	
Obp83b	0	0	0	0	1	0	0	
lncRNA:CR44927	0	0	0	0	0	0	0	
lncRNA:CR44928	0	2	0	0	0	0	0	
Rm62	81586	77526	58912	87848	75745	86925	70359	
CG10280	19	20	15	26	20	18	17	
CG11459	313	430	39	137	118	90	159	
CR1075	0	0	1	1	0	0	0	
lncRNA:CR46221	1	1	2	3	1	2	1	
lncRNA:CR44921	0	0	1	0	0	0	0	
CG15580	1	1	1	0	1	1	7	
Or83c	0	2	1	1	0	1	0	
Gasp	7735	8289	5409	7828	7073	8880	7139	
lncRNA:CR44929	0	1	1	4	1	7	1	
Obp83cd	19	20	6	14	15	13	16	
Obp83ef	62	166	14	119	82	83	105	
Obp83g	230	268	93	267	201	263	226	
Vha14-2	3	3	5	2	0	3	2	
lncRNA:CR43486	0	0	0	0	0	0	1	
lncRNA:CR43487	2	0	0	1	0	0	0	
CG31559	216	343	98	292	238	390	242	
CG1077	5	6	5	7	8	5	7	
Osi1	3	2	0	4	2	4	1	
CR31562	0	0	0	0	0	0	0	
NPFR	286	206	158	250	232	250	224	
Osi24	279	345	129	387	288	404	306	
Osi2	113	104	94	197	162	180	186	
Osi3	5	1	4	6	6	2	2	
Osi4	84	90	101	24	20	36	37	
Osi5	0	5	1	3	1	4	1	
Osi6	54	61	48	42	45	51	49	
Osi7	139	163	113	107	84	117	72	
Osi8	0	1	0	0	0	1	0	
Osi9	44	60	31	58	49	78	30	
Osi10	0	0	0	0	0	1	0	
Osi11	0	0	0	0	0	0	0	
Osi12	2	0	1	0	1	2	1	
CG15597	79	1	0	0	2	1	0	
CG15594	1	0	0	0	0	1	0	
Osi13	0	2	0	0	0	0	0	
Osi14	87	59	66	95	84	69	59	
Osi15	8	1	12	0	8	3	1	
Osi16	1	0	0	0	0	1	0	
CG46026	0	0	0	0	0	0	1	
CG31560	0	0	0	0	0	0	0	
Osi17	16	20	12	22	13	10	8	
Osi18	0	0	0	0	0	0	0	
Osi19	1	1	0	1	1	2	0	
Osi20	0	0	0	0	1	0	2	
CG17917	83	48	44	56	60	39	28	
CG10298	52	49	35	44	46	59	30	
CG17919	2175	2311	974	2630	2250	2854	2525	
SmD2	5545	5136	3013	5828	5324	6406	5721	
CG18048	606	525	330	615	527	688	636	
Hr83	4	3	3	1	0	6	3	
Pak	5347	5609	3345	6072	5270	5974	4708	
CG42724	13658	13639	8749	16716	13970	15454	10813	
CG10286	3701	3359	2108	3793	3284	3972	3352	
CRAT	2755	3069	1599	2876	2490	3330	2684	
CG42564	106	98	94	108	98	93	90	
snoRNA:83E4-5	0	0	1	0	0	0	0	
CG1024	1397	1444	833	1447	1291	1526	1374	
CG42537	0	0	0	0	0	0	0	
TfIIFalpha	3978	4184	2270	4184	3609	4633	3635	
godzilla	3783	4148	2403	4283	3527	4053	3572	
Dmtn	5240	5774	3041	6019	5094	6172	4641	
gpp	12881	13435	8076	14461	12187	14139	9533	
lncRNA:CR44017	0	1	2	2	0	1	0	
CG9727	3983	4004	2466	4164	3533	4147	3416	
mir-9375	0	0	0	0	0	0	0	
Zif	3245	3082	1876	3516	3112	3603	3219	
Neurochondrin	593	542	278	859	696	707	298	
CG15186	103	97	39	163	112	127	54	
tRNA:Met-CAT-1-5	0	0	0	0	1	0	0	
CG15185	0	0	0	0	0	0	0	
dpr11	1257	1007	784	1110	1014	983	743	
Pif2	0	1	0	3	0	1	0	
lncRNA:CR46132	1	1	1	0	0	0	0	
CG1137	3	1	3	3	3	4	0	
CG2336	1	1	2	3	1	0	1	
lncRNA:CR46131	1	1	1	0	1	0	0	
CG1138	0	0	0	0	0	0	0	
CG31482	0	0	0	0	0	0	1	
glob2	0	3	0	1	4	0	0	
sowi	0	2	0	0	1	0	3	
CG15177	0	2	2	4	1	1	1	
sunz	0	1	0	1	1	1	2	
CG31286	0	0	0	0	0	0	0	
Ass	2	0	3	1	1	0	3	
Taf1	10994	10899	6790	12205	10378	11650	8733	
CG1307	3272	3025	1672	3339	2948	3486	3149	
twr	4408	4752	2461	4722	4059	4739	3964	
agt	409	304	223	325	329	390	343	
lab	106	117	58	133	117	159	124	
Edg84A	4	1	1	1	2	0	1	
Ccp84Ag	2	5	5	2	2	3	2	
Ccp84Af	1	1	1	1	2	2	0	
Ccp84Ae	0	0	0	1	0	0	1	
Ccp84Ad	1	10	2	6	4	5	3	
Ccp84Ac	0	0	0	0	1	0	1	
lncRNA:CR33938	14458	13298	9414	17663	16114	18997	16940	
Ccp84Ab	9	15	3	18	23	31	11	
Ccp84Aa	80	102	60	78	65	57	63	
pb	109	90	53	91	87	95	74	
zen2	0	0	1	0	0	0	0	
CG34297	0	0	0	1	0	0	0	
zen	1	0	0	0	1	2	0	
bcd	3	0	1	3	0	3	0	
lncRNA:CR45593	94	106	41	77	69	81	62	
Ama	12680	13020	6298	12985	11278	13085	11385	
lncRNA:CR44930	12	6	2	7	2	9	5	
lncRNA:CR42721	115	94	46	78	77	86	68	
mir-993	0	0	0	0	0	0	0	
lncRNA:CR43435	51	47	16	38	29	30	26	
Dfd	316	378	198	350	268	354	285	
lncRNA:CR42651	11	9	7	12	15	10	8	
mir-10	0	0	0	0	0	0	0	
lncRNA:CR45915	0	0	1	0	0	0	0	
tRNA:Lys-CTT-2-1Psi	2	1	3	2	1	2	0	
tRNA:Lys-TTT-2-1	0	0	0	0	0	0	0	
7SLRNA:CR42652	20	13	3	10	11	8	9	
tRNA:Lys-TTT-2-2	0	0	0	0	0	0	0	
tRNA:Lys-TTT-2-3	0	0	0	0	0	0	0	
7SLRNA:CR32864	3	2	0	1	2	3	1	
tRNA:Lys-TTT-2-4	0	0	0	0	0	0	0	
Scr	3171	4085	2007	4299	3392	4325	3185	
lncRNA:CR45901	12	13	8	18	18	13	12	
lncRNA:CR45902	9	12	5	10	14	11	9	
lncRNA:CR45903	8	6	2	12	3	11	5	
lncRNA:CR45904	12	11	11	12	12	17	3	
lncRNA:CR45905	10	5	5	15	7	19	13	
lncRNA:CR45900	0	0	1	1	0	0	0	
ftz	1	1	1	3	2	1	1	
lncRNA:CR44931	0	0	0	0	0	0	0	
lncRNA:CR45559	225	260	128	448	366	501	378	
lncRNA:CR44932	66	69	46	69	86	77	70	
Antp	2646	2653	1564	2652	2339	2700	2142	
lncRNA:CR43252	33	38	20	43	21	43	21	
lncRNA:CR45899	5	3	1	18	17	18	16	
lncRNA:CR44933	16	14	9	4	3	2	2	
Sodh-1	8	5	17	7	0	3	9	
CG1979	1	1	4	2	3	3	3	
dj	0	2	0	4	3	0	2	
djl	0	0	0	8	5	1	3	
CG1988	2	7	1	17	11	10	11	
CG1105	2827	2748	1537	2576	2292	2618	2367	
CG1965	4921	4919	3180	5966	5204	6001	4887	
Ufl1	2314	2536	1533	2473	2190	2609	1914	
asRNA:CR45908	42	40	27	38	43	33	39	
CG1943	15491	15059	10689	17450	14496	16455	15015	
Ref1	14706	14574	7448	17742	15288	18508	16077	
Dpck	746	661	404	776	650	742	631	
Tailor	4575	4441	2721	4961	4366	5242	4449	
asRNA:CR45907	57	48	42	73	57	67	54	
alphaTub84B	256025	281242	139376	263612	221871	267016	217135	
lncRNA:CR43685	871	834	608	922	885	1034	992	
e(y)2b	21	26	23	38	32	36	26	
Alh	12467	13348	6901	13782	11244	13507	9818	
lncRNA:CR45906	0	1	2	1	2	0	1	
Mlp84B	781	737	420	574	543	499	269	
CG10098	4681	4734	2781	5077	4289	4868	4244	
CG10068	887	971	559	943	848	984	950	
lncRNA:CR42875	107	116	80	136	116	142	153	
CG31248	112	83	58	137	99	118	123	
tRNA:Gly-TCC-1-1	1	2	1	1	0	2	0	
tRNA:Gly-TCC-1-2	0	0	0	0	0	0	0	
CG31493	1	1	0	0	0	0	0	
Fer1	394	338	264	364	347	379	309	
asRNA:CR42738	0	0	0	0	0	0	0	
CG14610	0	0	0	0	0	0	0	
CG2656	1203	1144	686	1151	1000	1256	1097	
gfzf	4825	4544	3024	5503	4610	5214	4287	
Sas-4	1911	1773	1054	1937	1628	2081	1805	
MAGE	587	560	408	535	430	569	493	
asRNA:CR45909	1	3	3	4	0	2	1	
sas	14334	13878	8717	15065	12639	14582	11598	
CG10055	1299	1329	722	1369	1227	1356	1244	
lap	7028	7408	4389	7391	6259	7443	5899	
CG14609	10	11	7	6	8	5	8	
CG1288	0	4	0	0	2	0	2	
CG14606	2	1	0	5	1	3	47	
CG14605	1	0	0	2	0	0	0	
thw	218	298	124	105	100	139	76	
CG14607	0	0	0	0	0	0	1	
CG1234	2811	2807	1770	2998	2507	3278	2727	
CG10053	437	447	246	408	386	450	406	
CG1227	626	648	403	657	597	675	650	
CG10050	280	332	138	304	269	332	277	
Obp84a	16	21	20	27	12	15	9	
Gld	900	810	427	978	784	799	564	
lncRNA:CR44338	1	1	1	4	0	3	0	
Syt4	6242	5906	4195	8392	7221	8440	6603	
CR10032	4	3	1	3	3	2	1	
rn	5137	5058	3016	4838	3997	4734	3571	
lncRNA:CR44333	4	1	1	4	2	3	2	
RacGAP84C	22	14	6	25	10	17	17	
CG42544	7	7	3	9	4	9	4	
lncRNA:CR44334	252	235	164	252	169	193	189	
lncRNA:CR46130	1	1	0	0	1	0	0	
CG10029	5	11	2	4	3	6	5	
lncRNA:CR46299	2	3	1	0	1	0	2	
lncRNA:CR46224	0	2	0	1	0	1	0	
CG44335	9	16	9	12	6	8	9	
lncRNA:TS14	1	2	0	1	0	0	0	
lncRNA:CR44337	0	0	0	0	0	0	0	
CG31496	366	1200	687	546	213	473	382	
nxf4	0	0	0	2	0	1	1	
CG43290	7	2	2	0	1	2	0	
CG17944	0	0	0	0	1	1	0	
Mst84Dd	0	4	0	0	3	0	0	
Mst84Dc	0	10	0	2	1	1	2	
Mst84Db	1	10	0	0	4	0	0	
Mst84Da	0	1	0	0	0	0	0	
MstProx	13	12	17	16	15	18	48	
lncRNA:CR45560	0	0	0	0	0	0	0	
CG42650	0	0	0	0	0	0	0	
Ir84a	0	0	0	1	0	3	1	
CR46300	0	0	0	1	0	1	0	
wa-cup	1	0	0	1	1	0	0	
CG14598	464	410	258	609	493	770	622	
tRNA:Val-CAC-2-1	0	0	0	0	0	0	0	
mir-4950	0	0	0	0	0	0	0	
tRNA:Val-CAC-2-2	0	0	0	0	0	0	0	
lncRNA:CR44934	0	0	0	0	0	0	0	
tRNA:Val-CAC-2-3	0	0	0	0	0	0	0	
CG1142	2941	2919	1783	3143	2837	3511	3263	
scaRNA:MeU5-C46	57	45	47	87	66	53	63	
snRNA:7SK	59	45	23	47	36	46	35	
tRNA:Val-CAC-2-4	0	1	0	0	0	0	0	
alpha-Est10	128	118	52	114	100	190	68	
CG42656	0	0	0	23	5	2	1	
alpha-Est9	1025	773	655	637	552	653	622	
Mics1	1	2	5	1	1	2	0	
alpha-Est8	94	82	43	58	44	121	73	
Ubc84D	0	1	0	0	0	0	0	
alpha-Est7	115	246	83	77	67	81	138	
alpha-Est6	1	3	2	2	1	2	1	
alpha-Est4aPsi	1	1	0	0	0	0	1	
Rtnl2	12	11	5	10	6	6	9	
alphaTub84D	13781	13211	6966	14701	13097	15773	13555	
alpha-Est5	118	154	131	51	47	58	52	
alpha-Est4	36	38	36	19	18	31	24	
asRNA:CR46128	7	7	7	10	5	4	6	
alpha-Est3	0	0	0	0	0	0	0	
alpha-Est2	255	86	43	17	12	16	7	
asRNA:CR46129	0	0	0	0	0	0	0	
alpha-Est1	127	124	61	52	39	79	59	
CG45545	0	0	0	0	0	0	0	
Nlg3	852	751	512	740	608	670	531	
lncRNA:CR44332	0	0	0	0	0	0	0	
Nlg1	231	178	97	137	111	141	114	
lncRNA:CR44260	0	0	0	0	0	0	0	
CG2616	0	0	0	0	0	0	1	
CG43254	0	0	0	0	0	0	0	
lncRNA:CR44935	0	0	0	0	0	0	0	
pyd3	158	144	140	73	80	97	76	
CG10919	1	0	1	2	2	2	0	
Sp7	679	693	309	842	808	855	690	
CG11286	0	1	1	1	0	0	0	
lncRNA:CR46225	0	0	0	0	0	0	0	
lncRNA:CR46226	0	0	0	0	0	0	0	
CG18747	102	43	187	28	33	43	70	
CG18745	20	24	35	13	5	8	18	
CG18748	1	6	8	2	2	0	6	
CG18746	1	0	1	4	3	1	4	
CG10086	1	3	1	37	11	9	22	
CG2641	557	595	392	367	337	427	389	
CG18744	7	12	1	13	4	5	1	
CG3014	397	361	151	373	324	322	273	
CG18268	25	27	13	19	13	16	20	
CG2993	2940	2262	1556	2940	2223	2035	1543	
sgll	2495	2407	1369	2312	2111	2458	2356	
CG31473	129	128	95	140	113	137	115	
